project-name,pom-jacoco,pom-cobertura,pom-javadoc,travis,gha,file-name,yml-codecov,yml-coveralls,yml-sonar,yml-jacoco,yml-cobertura,yml-javadoc,mvn-mvnw,candidate
eclipse/deeplearning4j,No,No,Yes,No,Yes,run-gpu-tests-sanity-checks.yml,No,No,No,No,No,No,Yes,Maybe
eclipse/deeplearning4j,No,No,Yes,No,Yes,test_multiple_arch.yaml,No,No,No,No,No,No,Yes,Maybe
apache/camel,No,No,Yes,No,Yes,asf-snapshots-deploy.yml,No,No,No,No,No,No,Yes,Maybe
apache/camel,No,No,Yes,No,Yes,backport.yml,No,No,No,No,No,No,No,No
apache/camel,No,No,Yes,No,Yes,master-pr-build.yml,No,No,No,No,No,No,Yes,Maybe
apache/camel,No,No,Yes,No,Yes,master-push-build.yml,No,No,No,No,No,No,Yes,Maybe
prestodb/presto,Yes,No,Yes,No,Yes,ci.yml,No,No,No,No,No,No,Yes,Maybe
prestodb/presto,Yes,No,Yes,No,Yes,cleanup.yml,No,No,No,No,No,No,No,No
runelite/runelite,No,No,Yes,No,Yes,CI.yml,No,No,No,No,No,No,No,No
redisson/redisson,No,No,Yes,No,Yes,codeql-analysis.yml,No,No,No,No,No,No,No,No
redisson/redisson,No,No,Yes,No,Yes,maven.yml,No,No,No,No,No,No,Yes,Maybe
apache/storm,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,Yes,Maybe
code4craft/webmagic,Yes,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,No,No
spring-projects/spring-security-oauth,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,Yes,Maybe
google/gson,No,No,Yes,Yes,Yes,.travis.yml,No,No,No,No,No,No,Yes,Maybe
google/gson,No,No,Yes,Yes,Yes,gradle-wrapper-validation.yml,No,No,No,No,No,No,No,No
keycloak/keycloak,No,No,Yes,Yes,Yes,.travis.yml,No,No,No,No,No,No,No,No
keycloak/keycloak,No,No,Yes,Yes,Yes,ci.yml,No,No,No,No,No,No,Yes,Maybe
keycloak/keycloak,No,No,Yes,Yes,Yes,codeql-analysis.yml,No,No,No,No,No,No,No,No
JakeWharton/ActionBarSherlock,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,No,No
apache/hive,No,No,Yes,No,Yes,auto-assign.yml,No,No,No,No,No,No,No,No
apache/hive,No,No,Yes,No,Yes,stale.yml,No,No,No,No,No,No,No,No
OpenAPITools/openapi-generator,Yes,No,Yes,Yes,Yes,.travis.yml,No,No,No,No,No,No,Yes,Maybe
OpenAPITools/openapi-generator,Yes,No,Yes,Yes,Yes,check-supported-versions.yaml,No,No,No,No,No,No,Yes,Maybe
OpenAPITools/openapi-generator,Yes,No,Yes,Yes,Yes,docker-tag-latest-release.yml,No,No,No,No,No,No,No,No
OpenAPITools/openapi-generator,Yes,No,Yes,Yes,Yes,openapi-generator-test-results.yaml,No,No,No,No,No,No,No,No
OpenAPITools/openapi-generator,Yes,No,Yes,Yes,Yes,openapi-generator.yaml,No,No,No,No,No,No,Yes,Maybe
OpenAPITools/openapi-generator,Yes,No,Yes,Yes,Yes,samples-dart.yaml,No,No,No,No,No,No,No,No
OpenAPITools/openapi-generator,Yes,No,Yes,Yes,Yes,samples-kotlin.yaml,No,No,No,No,No,No,No,No
OpenAPITools/openapi-generator,Yes,No,Yes,Yes,Yes,sonar.yml,No,No,Yes,Yes,No,No,Yes,No
dropwizard/dropwizard,No,No,Yes,No,Yes,close_stale.yml,No,No,No,No,No,No,No,No
dropwizard/dropwizard,No,No,Yes,No,Yes,codeql.yml,No,No,No,No,No,No,No,No
dropwizard/dropwizard,No,No,Yes,No,Yes,maven.yml,No,No,Yes,No,No,No,Yes,No
dropwizard/dropwizard,No,No,Yes,No,Yes,release.yml,No,No,No,No,No,No,Yes,Maybe
apache/shardingsphere-elasticjob,Yes,Yes,Yes,Yes,Yes,.travis.yml,Yes,No,No,No,Yes,No,Yes,No
apache/shardingsphere-elasticjob,Yes,Yes,Yes,Yes,Yes,maven-macos-jdk-11.yml,Yes,No,No,No,No,No,Yes,No
apache/shardingsphere-elasticjob,Yes,Yes,Yes,Yes,Yes,maven-macos.yml,Yes,No,No,No,Yes,No,Yes,No
apache/shardingsphere-elasticjob,Yes,Yes,Yes,Yes,Yes,maven-windows-jdk-11.yml,No,No,No,No,No,No,Yes,Maybe
apache/shardingsphere-elasticjob,Yes,Yes,Yes,Yes,Yes,maven-windows.yml,No,No,No,No,Yes,No,Yes,Yes
apache/druid,Yes,No,Yes,Yes,No,.travis.yml,Yes,No,No,Yes,No,No,Yes,No
openmrs/openmrs-core,Yes,No,Yes,Yes,Yes,.travis.yml,No,Yes,No,Yes,No,No,Yes,No
openmrs/openmrs-core,Yes,No,Yes,Yes,Yes,build-2.x.yaml,No,No,No,No,No,No,Yes,Maybe
openmrs/openmrs-core,Yes,No,Yes,Yes,Yes,build.yaml,No,Yes,No,Yes,No,No,Yes,No
openmrs/openmrs-core,Yes,No,Yes,Yes,Yes,qa.yml,No,No,No,No,No,No,No,No
openmrs/openmrs-core,Yes,No,Yes,Yes,Yes,stale.yml,No,No,No,No,No,No,No,No
hs-web/hsweb-framework,Yes,No,Yes,Yes,No,.travis.yml,Yes,No,No,No,No,No,Yes,No
junit-team/junit4,No,No,Yes,No,Yes,main.yml,No,No,No,No,No,Yes,Yes,Yes
junit-team/junit4,No,No,Yes,No,Yes,settings.xml,No,No,No,No,No,No,No,No
pagehelper/Mybatis-PageHelper,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,No,No
aws/aws-sdk-java,No,No,Yes,Yes,Yes,.travis.yml,No,No,No,No,No,No,Yes,Maybe
aws/aws-sdk-java,No,No,Yes,Yes,Yes,closed-issue-message.yml,No,No,No,No,No,No,No,No
aws/aws-sdk-java,No,No,Yes,Yes,Yes,stale-issue.yml,No,No,No,No,No,No,No,No
SERG-Delft/mooc-software-testing,Yes,No,No,No,Yes,maven.yml,No,No,No,No,No,No,Yes,Maybe
apache/zeppelin,No,Yes,Yes,No,Yes,core.yml,No,No,No,No,No,No,Yes,Maybe
apache/zeppelin,No,Yes,Yes,No,Yes,frontend.yml,No,No,No,No,No,No,Yes,Maybe
apache/zeppelin,No,Yes,Yes,No,Yes,rat.yml,No,No,No,No,No,No,Yes,Maybe
Alluxio/alluxio,Yes,No,Yes,No,Yes,checkstyle.yml,No,No,No,No,No,No,Yes,Maybe
Alluxio/alluxio,Yes,No,Yes,No,Yes,java11_integration_tests.yml,No,No,No,No,No,No,Yes,Maybe
Alluxio/alluxio,Yes,No,Yes,No,Yes,java11_integration_tests_webui.yml,No,No,No,No,No,No,Yes,Maybe
Alluxio/alluxio,Yes,No,Yes,No,Yes,java11_unit_tests.yml,No,No,No,No,No,No,Yes,Maybe
Alluxio/alluxio,Yes,No,Yes,No,Yes,java8_integration_tests.yml,No,No,No,No,No,No,Yes,Maybe
Alluxio/alluxio,Yes,No,Yes,No,Yes,java8_integration_tests_webui.yml,Yes,No,No,Yes,No,No,Yes,No
Alluxio/alluxio,Yes,No,Yes,No,Yes,java8_unit_tests.yml,Yes,No,No,Yes,No,No,Yes,No
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,codeql-analysis.yml,No,No,No,No,No,No,No,No
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,maven-pulls.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,maven-v1-pulls.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,maven-v1.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,maven.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,next-snapshot-v1.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,next-snapshot.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,prepare-release-v1.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,prepare-release.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,release-v1.yml,No,No,No,No,No,No,Yes,Maybe
swagger-api/swagger-parser,Yes,No,Yes,No,Yes,release.yml,No,No,No,No,No,No,Yes,Maybe
openmrs/openmrs-module-webservices.rest,Yes,No,Yes,No,Yes,maven.yml,No,Yes,No,Yes,No,No,Yes,No
TooTallNate/Java-WebSocket,No,No,Yes,No,Yes,checkstyle.yml,No,No,No,No,No,No,Yes,Maybe
TooTallNate/Java-WebSocket,No,No,Yes,No,Yes,ci.yml,No,No,No,No,No,No,Yes,Maybe
